电影名称,电影类型
奔跑吧！兄弟,"
                  喜剧
                "
星际迷航3：超越星辰,"
                  动作,冒险,科幻
                    3DIMAX
"
峰爆,"
                  剧情,灾难,动作
                    2DIMAX
"
地心引力,"
                  科幻,惊悚,灾难
                    3DIMAX
"
小黄人大眼萌,"
                  合家欢,冒险
                    3DIMAX
"
全球风暴,"
                  动作,惊悚,灾难
                    3DIMAX
"
古董局中局,"
                  剧情,悬疑,冒险
                "
蜘蛛侠：平行宇宙,"
                  动画,动作,科幻
                    3DIMAX
"
血战钢锯岭,"
                  剧情,战争,历史,传记
                "
建国大业,"
                  剧情,历史
                "
最好的我们,"
                  爱情,青春
                "
